DOCENTE,ASIGNATURAS,GRUPO,HORAS,COMPONENTE
garcia hernandez luis eduardo,álgebra,1B,4,Asignatura
RAMIREZ PEREZ JUANA MARIA,álgebra,1F,4,Asignatura
lopez rodriguez antonio manuel,álgebra,1A,4,Asignatura
LOPEZ RODRIGUEZ ANTONIA MARIA,álgebra,1C,4,Asignatura
LOPEZ RODRIGUEZ ANTONIA MARIA,álgebra,1D,4,Asignatura
LOPEZ RODRIGUEZ ANTONIA MARIA,álgebra,1E,4,Asignatura
GUTIERREZ LOPEZ PEDRO PABLO,álgebra,1G,4,Asignatura
gutierrez lopez pedro pablo,álgebra,1H,4,Asignatura
rodriguez garcia ana carmen,aplica la metodología de desarrollo rápido de aplicaciones con programación orientada a eventos,3A,8,Submódulo
rodriguez garcia ana carmen,aplica la metodología espiral con programación orientada a objetos,3A,9,Submódulo
velazquez hernandez maria elena,biología,3A,4,Asignatura
velazquez hernandez maria elena,biología,3B,4,Asignatura
velazquez hernandez maria elena,biología,3C,4,Asignatura
velazquez hernandez maria elena,biología,3D,4,Asignatura
velazquez hernandez maria elena,biología,3E,4,Asignatura
velazquez hernandez maria elena,biología,3F,4,Asignatura
GARCIA RUIZ FRANCISCO JAVIER,biología,3G,4,Asignatura
VELAZQUEZ HERNANDEZ LUCIANA,biología,3H,4,Asignatura
VELAZQUEZ HERNANDEZ LUCIANA,cálculo integral,5C,5,Asignatura
GUTIERREZ MARTINEZ PEDRO PABLO,cálculo integral,5A,5,Asignatura
GUTIERREZ MARTINEZ PEDRO PABLO,cálculo integral,5B,5,Asignatura
MENDOZA HERNANDEZ JORGE ALBERTO,cálculo integral,5D,5,Asignatura
HERNANDEZ GARCIA FABIAN ENRIQUE,cálculo integral,5E,5,Asignatura
hernandez garcia fabian enrique,cálculo integral,5F,5,Asignatura
HERNANDEZ GARCIA FABIAN ENRIQUE,cálculo integral,5G,5,Asignatura
GARCIA HERNANDEZ FABIAN ENRIQUE,cálculo integral,5H,5,Asignatura
HERNANDEZ GARCIA FABIAN ENRIQUE,"ciencia, tecnología, sociedad y valores",5A,4,Asignatura
RUIZ GUTIERREZ MARIA SOFIA,"ciencia, tecnología, sociedad y valores",5B,4,Asignatura
RUIZ GUTIERREZ MARIA SOFIA,"ciencia, tecnología, sociedad y valores",5C,4,Asignatura
lopez ramirez marco antonio,"ciencia, tecnología, sociedad y valores",5D,4,Asignatura
lopez ramirez marco antonio,"ciencia, tecnología, sociedad y valores",5E,4,Asignatura
lopez ramirez marco antonio,"ciencia, tecnología, sociedad y valores",5F,4,Asignatura
lopez ramirez marco antonio,"ciencia, tecnología, sociedad y valores",5G,4,Asignatura
lopez ramirez marco antonio,"ciencia, tecnología, sociedad y valores",5H,4,Asignatura
gonzalez lopez ana luisa,construye bases de datos para aplicaciones web,5A,6,Submódulo
gonzalez lopez ana luisa,desarrolla aplicaciones web con conexión a bases de datos,5A,6,Submódulo
GONZALEZ LOPEZ ANA LUISA,diseña bases de datos ofimáticas,5B,4,Submódulo
GARCIA ALVAREZ ANDRES,diseña bases de datos ofimáticas,5F,4,Submódulo
RAMIREZ LOPEZ MARIA DOLORES,diseña y mantiene los sistemas de iluminación,5D,4,Submódulo
GARCIA ALVAREZ ANDRES,ética,3F,4,Asignatura
